Time,Price,Quantity,IsMarketMaker,NumTrades,M
2025-03-16 00:03:43.923627104 +0530 IST,613.75000000,0.00900000,true,1,true
2025-03-16 00:03:45.612170604 +0530 IST,613.73000000,0.02500000,true,1,true
2025-03-16 00:03:45.620162649 +0530 IST,613.70000000,0.84100000,true,2,true
2025-03-16 00:03:51.96746894 +0530 IST,613.77000000,0.83900000,false,1,true
2025-03-16 00:03:51.96750078 +0530 IST,613.78000000,0.49600000,false,1,true
2025-03-16 00:03:51.973686364 +0530 IST,613.79000000,0.83800000,false,1,true
2025-03-16 00:03:51.984480667 +0530 IST,613.80000000,0.81500000,false,1,true
2025-03-16 00:03:54.184154092 +0530 IST,613.78000000,0.65200000,true,1,true
2025-03-16 00:04:06.063179853 +0530 IST,613.70000000,0.81500000,true,1,true
2025-03-16 00:04:15.191231595 +0530 IST,613.64000000,0.01000000,true,1,true
2025-03-16 00:04:15.19130607 +0530 IST,613.63000000,1.86000000,true,1,true
2025-03-16 00:04:15.200176098 +0530 IST,613.64000000,0.07100000,true,1,true
2025-03-16 00:04:15.20421641 +0530 IST,613.64000000,1.78900000,true,1,true
2025-03-16 00:04:15.748262511 +0530 IST,613.60000000,0.66000000,true,1,true
